dim_red,kernal,num_iter,cs,gammas,degs,scores,pipes,times
PCA(n_components=50),linear,2000,10.0,scale,1,0.2962,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=10, kernel='linear', max_iter=2000))],
         verbose=True)",25.196015119552612
PCA(n_components=50),linear,2000,1.0,auto,2,0.4773,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=1, kernel='linear', max_iter=2000))],
         verbose=True)",25.434314966201782
PCA(n_components=50),linear,2000,0.1,0.1,3,0.6368,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=2000))],
         verbose=True)",27.634034156799316
PCA(n_components=50),linear,2000,0.01,0.01,5,0.7402,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",31.98809289932251
PCA(n_components=50),linear,2000,0.001,0.001,8,0.6501,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.001, kernel='linear', max_iter=2000))],
         verbose=True)",36.218281984329224
PCA(n_components=50),linear,2000,0.0001,0.0001,10,0.6365,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",48.295926094055176
PCA(n_components=50),linear,5000,10.0,scale,1,0.4219,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=10, kernel='linear', max_iter=5000))],
         verbose=True)",37.108657121658325
PCA(n_components=50),linear,5000,1.0,auto,2,0.5719,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=1, kernel='linear', max_iter=5000))],
         verbose=True)",36.5635449886322
PCA(n_components=50),linear,5000,0.1,0.1,3,0.7296,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=5000))],
         verbose=True)",37.291659116744995
PCA(n_components=50),linear,5000,0.01,0.01,5,0.8345,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.01, kernel='linear', max_iter=5000))],
         verbose=True)",38.55601906776428
